1	2015-24-01	14956	0	1
1	2015-24-02	12346	0	2
1	2015-24-03	15478	1	3
1	2015-24-04	12345	2	4
1	2015-24-05	15648	3	5
1	2015-24-06	15698	4	6
1	2015-24-07	15334	5	7
1	2015-24-08	14569	6	8
1	2015-24-09	12349	7	9
1	2015-24-10	15789	8	10
1	2015-24-11	15354	9	11
1	2015-24-12	12348	10	12
1	2016-22-02	15369	11	13
1	2016-22-03	15789	12	14
1	2016-22-04	15125	13	15
1	2016-22-05	15456	14	16
1	2016-22-06	15654	15	17
1	2016-22-07	15875	16	18
1	2016-22-08	15245	17	19
1	2016-22-09	15325	18	20
1	2016-22-10	15326	19	21
1	2017-23-03	14563	20	22
1	2017-23-04	14523	21	23
1	2017-23-05	12348	22	24
1	2017-23-06	12652	23	25
1	2017-23-07	11234	24	26
1	2017-23-08	15489	25	27
1	2017-23-09	15326	26	28
1	2017-23-10	14879	27	29
2	2016-23-03	14569	0	1
2	2016-23-04	14635	0	2
2	2016-23-05	12365	0	3
2	2016-23-06	15325	1	4
2	2016-23-07	15325	2	5
2	2016-23-08	15325	3	6
2	2016-23-09	15325	4	7
2	2016-23-10	15325	5	8
2	2017-13-04	15325	6	9
2	2017-13-05	15325	7	10
2	2017-13-06	15325	8	11
2	2017-13-07	15632	9	12
2	2017-13-08	15632	10	13
2	2017-13-09	15632	11	14
2	2017-13-10	15632	12	15
2	2017-13-11	15632	13	16
3	2017-16-04	15978	1	1
3	2017-16-05	15978	2	2
3	2017-16-06	15978	3	3
3	2017-16-07	15978	4	4
3	2017-16-08	15978	5	5
3	2017-16-09	15978	6	6
3	2017-16-10	15978	7	7
3	2017-16-11	15978	8	8
3	2017-16-12	15978	9	9
