1	2015-24-01	14956
1	2015-24-02	12346
1	2015-24-03	15478
1	2015-24-04	12345
1	2015-24-05	15648
1	2015-24-06	15698
1	2015-24-07	15334
1	2015-24-08	14569
1	2015-24-09	12349
1	2015-24-10	15789
1	2015-24-11	15354
1	2015-24-12	12348
1	2016-22-02	15369
1	2016-22-03	15789
1	2016-22-04	15125
1	2016-22-05	15456
1	2016-22-06	15654
1	2016-22-07	15875
1	2016-22-08	15245
1	2016-22-09	15325
1	2016-22-10	15326
1	2017-23-03	14563
1	2017-23-04	14523
1	2017-23-05	12348
1	2017-23-06	12652
1	2017-23-07	11234
1	2017-23-08	15489
1	2017-23-09	15326
1	2017-23-10	14879
2	2016-23-03	14569
2	2016-23-04	14635
2	2016-23-05	12365
2	2016-23-06	15325
2	2016-23-07	15325
2	2016-23-08	15325
2	2016-23-09	15325
2	2016-23-10	15325
2	2017-13-04	15325
2	2017-13-05	15325
2	2017-13-06	15325
2	2017-13-07	15632
2	2017-13-08	15632
2	2017-13-09	15632
2	2017-13-10	15632
2	2017-13-11	15632
3	2017-16-04	15978
3	2017-16-05	15978
3	2017-16-06	15978
3	2017-16-07	15978
3	2017-16-08	15978
3	2017-16-09	15978
3	2017-16-10	15978
3	2017-16-11	15978
3	2017-16-12	15978
